Player Name,TFP,Height,Weight,Age,College
Kenny McIntosh,22.4,6',204 lbs,25,Georgia
DeeJay Dallas,21,"5' 10""",214 lbs,26,Miami (FL)
Craig Reynolds,20.9,"5' 11""",216 lbs,28,Kutztown
Ronnie Rivers,18.3,"5' 9""",192 lbs,26,Fresno State
Eric Gray,17.3,"5' 10""",211 lbs,25,Oklahoma
Patrick Ricard,17.2,"6' 3""",300 lbs,30,Maine
Will Shipley,15.7,"5' 11""",209 lbs,22,Clemson
C.J. Ham,13.5,"5' 11""",250 lbs,31,Augustana
Julius Chestnut,13.3,"5' 11""",228 lbs,24,Sacred Heart
Deuce Vaughn,11.8,"5' 6""",176 lbs,23,Kansas State
Tony Jones Jr.,11.5,"5' 11""",224 lbs,27,Notre Dame
Jeff Wilson Jr.,10.6,6',205 lbs,29,North Texas
Clyde Edwards-Helaire,10,"5' 8""",209 lbs,25,LSU
Tyler Badie,9.4,"5' 8""",197 lbs,25,Missouri
Sione Vaki,8.1,"5' 11""",213 lbs,23,Utah
Raheem Blackshear,8,"5' 9""",190 lbs,26,Virginia Tech
Jonathon Brooks,7.5,6',207 lbs,21,Texas
Keaton Mitchell,6.8,"5' 8""",191 lbs,23,East Carolina
J.J. Taylor,6.4,"5' 6""",185 lbs,27,Arizona
Travis Homer,6.4,"5' 10""",202 lbs,26,Miami (FL)
Kene Nwangwu,6,"6' 1""",213 lbs,27,Iowa State
Mike Boone,5.9,"5' 10""",206 lbs,29,Cincinnati
Jacob Kibodi,4.9,"6' 1""",225 lbs,26,Louisiana
Jermar Jefferson,4.2,"5' 10""",215 lbs,24,Oregon State
Dalvin Cook,4,"5' 10""",210 lbs,29,Florida State
Terrell Jennings,3.3,6',217 lbs,24,Florida A&M
Blake Watson,3.3,"5' 9""",195 lbs,25,Memphis
Jase McClellan,3.2,"5' 11""",215 lbs,22,Alabama
Rasheen Ali,3.1,"5' 11""",212 lbs,24,Marshall
MarShawn Lloyd,2.8,"5' 9""",220 lbs,24,USC
Jonathan Ward,2.2,6',202 lbs,27,Central Michigan
Myles Gaskin,2,"5' 9""",199 lbs,28,Washington
George Holani,1.9,"5' 11""",210 lbs,25,Boise State
Cody Schrader,1.9,"5' 9""",214 lbs,25,Missouri
Chris Collier,1.8,"5' 11""",210 lbs,25,Lock Haven
Aaron Shampklin,1.7,"5' 10""",195 lbs,25,Harvard
Tyreik McAllister,1.1,"5' 10""",185 lbs,26,Charleston (WV)
Reggie Gilliam,0.7,6',244 lbs,27,Toledo
Tyrion Davis-Price,0.7,"6' 1""",219 lbs,24,LSU
Ke'Shawn Vaughn,0.4,"5' 10""",214 lbs,27,Vanderbilt
Darrynton Evans,0.3,"5' 10""",203 lbs,26,Appalachian State
British Brooks,0.2,"5' 11""",225 lbs,25,North Carolina
Joshua Kelley,0.2,"5' 11""",212 lbs,27,UCLA
La'Mical Perine,0,"5' 11""",216 lbs,27,Florida
Khari Blasingame,0,6',233 lbs,28,Vanderbilt
Troy Hairston II,0,"5' 11""",245 lbs,26,Central Michigan
Keilan Robinson,0,"5' 8""",191 lbs,25,Texas
Nyheim Hines,0,"5' 9""",196 lbs,28,North Carolina State
Trayveon Williams,0,"5' 8""",210 lbs,27,Texas A&M
D.J. Williams,0,6',225 lbs,25,Arizona
Jabari Small,0,"5' 9""",198 lbs,24,Tennessee
Evan Hull,0,"5' 10""",209 lbs,24,Northwestern
Dante Miller,0,"5' 9""",200 lbs,25,South Carolina
Gary Brightwell,0,"6' 1""",218 lbs,27,Arizona
Keaontay Ingram,0,6',220 lbs,25,USC
Kendall Milton,0,"6' 1""",230 lbs,23,Georgia
Avery Williams,0,"5' 9""",200 lbs,26,Boise State
Jakob Johnson,0,"6' 3""",255 lbs,30,Tennessee
John Kelly Jr.,0,"5' 10""",205 lbs,28,Tennessee
Adam Prentice,0,6',245 lbs,28,South Carolina
Dylan Laube,-2,"5' 10""",206 lbs,25,New Hampshire
