Name,Tier,Draft,Games,Carries,Rushing Yards,Yards per Carry,Rushing TD,Rushing Yards per Game,Receptions,Receiving Yards,Yards per Reception,Receiving TD,Receiving Yards per Game,Plays,Scrimmage Yards,Average Scrimmage Yards,Total TD,Years
Bijan Robinson,1,1,31,539,3410,6.3,33,110,60,805,13.4,8,26,599,4215,7,41,2
Jahmyr Gibbs,1,1,31,383,2132,5.6,15,68.8,104,1217,11.7,8,39.3,487,3349,6.9,23,3
Zach Charbonnet,3,2,40,566,3346,5.9,39,83.7,75,589,7.9,0,14.7,641,3935,6.1,39,4
Kendre Miller,4,3,33,361,2410,6.7,26,73,29,229,7.9,1,6.9,390,2639,6.8,27,3
Tyjae Spears,3,3,34,427,2910,6.8,31,85.6,48,564,11.8,3,16.6,475,3474,7.3,34,4
De'Von Achane,1,3,30,369,2376,6.4,21,79.2,65,554,8.5,5,18.5,434,2930,6.8,26,3
Tank Bigsby,3,3,35,541,2906,5.4,25,83,62,448,7.2,0,12.8,603,3354,5.6,25,3
Roschon Johnson,4,4,47,392,2190,5.6,23,46.6,56,420,7.5,3,8.9,448,2610,5.8,26,4
Israel Abanikanda,4,5,31,390,2177,5.6,28,70.2,38,354,9.3,3,11.4,428,2531,5.9,31,3
Chase Brown,1,5,49,676,3558,5.3,18,72.6,58,521,9,3,10.6,734,4079,5.6,21,5
Eric Gray,4,5,47,549,3089,5.6,21,65.7,99,827,8.4,5,17.6,648,3916,6,26,4
Evan Hull,4,5,38,488,2417,5,18,63.6,94,851,9.1,4,22.4,582,3268,5.6,22,4
Chris Rodriguez,4,6,45,592,3644,6.2,32,81,20,116,5.8,3,2.6,612,3760,6.1,35,5
Deuce Vaughn,4,6,37,651,3604,5.5,34,97.4,116,1280,11,9,34.6,767,4884,6.4,43,3
Zach Evans,4,6,27,290,1999,6.9,18,74,30,325,10.8,2,12,320,2324,7.3,20,3
DeWayne McBride,4,7,30,484,3523,7.3,36,117.4,5,29,5.8,0,1,489,3552,7.3,36,3
Lew Nichols,4,7,32,614,3060,5,26,95.6,71,575,8.1,3,18,685,3635,5.3,29,4
Kenny McIntosh,4,7,48,280,1582,5.7,16,33,76,861,11.3,4,17.9,356,2443,6.9,20,4
